# Description
# The file describes the Fiorano circuit starting from Google Earth kml files.
# Distance (widths) from reference line of left/right borders
#  both with and witout kerbs are included.
# Generation date:       12-Jun-2023
# Names of source data files:
# - Monza_circuit_no_cordoli.kml
# - Monza_circuit_no_cordoli.kml
# Finish line origin local coordinates (ENU)
#! x0     =   0.00000000
#! y0     =   0.00000000
#! z0     =   0.04214080
#! theta0 =   1.47860909
# Finish line origin geodesic coordinates
#! FinishLineLatitude  =        45.61897378121358
#! FinishLineLongitude =        9.281181522560816
#! FinishLineAltitude  =        183.1489506034142
# Simulator to Real circuit alignement parameters
#! sim_to_real_translation_x =          NaN
#! sim_to_real_translation_y =          NaN
#! sim_to_real_rotation_z     =          NaN
abscissa	curvature	dir_mid_line	x_mid_line	y_mid_line	elevation	slope	banking	torsion	upsilon	width_no_kerbs_L	width_no_kerbs_R	width_kerbs_L	width_kerbs_R	width_kerbsMod_and_Constraint_MLT_L	width_kerbsMod_and_Constraint_MLT_R
66.008805949841445226	0.00011037225033171360307	1.4698637773839799969	6.8391723815472591497	65.653216583364297776	-0.2223474108	-0.00236206763323	-0.0200597489879	-0.000193579726266	3.91798832357e-05	5.7712036	5.8168257	5.8296539	5.8057472	5.8296539	5.8057472
70.009339656824792542	0.0001279894656359542571	1.4703407252096816205	7.2413455138481896967	69.633483711192170063	-0.2314700564	-0.002199702202	-0.020899529591	-0.000225514935876	3.71782634371e-05	5.7676189	5.8257829	5.8222431	5.8215858	5.8222431	5.8215858
74.009873363787349376	0.00012976584101245710592	1.4708584403058169165	7.6415193731439732261	73.613952335036572094	-0.2399554927	-0.00204350441988	-0.0218647485644	-0.000256283571605	3.54538016297e-05	5.7635963	5.8359507	5.8129171	5.8374577	5.8129171	5.8374577
78.01040707093177673	0.00012117180436933128315	1.4713617844886803798	8.039646784366748733	77.594626168511538822	-0.2478283937	-0.00189347428688	-0.0229505981633	-0.000285870765024	3.39538182634e-05	5.7590664	5.8472457	5.8012749	5.8554612	5.8012749	5.8554612
82.010940778193244682	0.00010905939224467062307	1.4718230184552691941	8.4358491862041589116	81.575492068782423871	-0.2551134331	-0.00174961180298	-0.0241522706429	-0.000314259831092	3.25507353246e-05	5.7541316	5.8594285	5.780535	5.8754171	5.780535	5.8754171
86.011474485505942766	9.7510456736442320449e-05	1.4722364633634812403	8.8303110038410519422	85.556530826412000579	-0.261835285	-0.0016119169682	-0.0254649582585	-0.000341442577416	3.11562797438e-05	5.7489591	5.872209	5.7367573	5.8971184	5.7367573	5.8971184
90.012008192832368536	8.8425611538264019501e-05	1.472608360053844212	9.2232126418435953497	89.537723871445322743	-0.268018623	-0.00148038978254	-0.0268838532652	-0.000367416418069	2.97199147775e-05	5.7437138	5.885314	5.7013215	5.9203717	5.7013215	5.9203717
94.012541900155341068	8.2298820520883717521e-05	1.4729496976879816739	9.6146983322649823833	93.519056404934445936	-0.2736881212	-0.00135503024598	-0.0284041479183	-0.000392181681456	2.82190723125e-05	5.7385248	5.8985173	5.704943	5.9451688	5.704943	5.9451688
98.013075607469019701	7.8839501073491979194e-05	1.4732718223042249317	10.004866784698803528	97.500518244973164883	-0.2788684534	-0.00123583835854	-0.030021034473	-0.000415739874946	2.66502268916e-05	5.733476	5.911648	5.7045519	5.9721462	5.7045519	5.9721462
102.01360931477275074	7.7419640632349793151e-05	1.4735842020711462652	10.393774807074288802	101.48210340207600666	-0.2835842936	-0.00112281412021	-0.0317297051844	-0.000438092687132	2.50210688865e-05	5.7286092	5.9245846	5.7029007	5.9832738	5.7029007	5.9832738
106.01414302206779894	7.7352247583308171575e-05	1.473893645037725797	10.781446711186381648	105.46380910569834555	-0.2878603155	-0.001015957531	-0.0335253523079	-0.000459241525012	2.33445580377e-05	5.7239333	5.9372432	5.7000554	5.9834773	5.7000554	5.9834773
110.01467672935599751	7.8037629397508624174e-05	1.4742043669903921455	11.16788496727459723	109.44563472827590545	-0.291721193	-0.000915268590894	-0.0354031680986	-0.000479187375931	2.16348688863e-05	5.719435	5.9495648	5.6959726	5.9851553	5.6959726	5.9851553
114.01521043663927912	7.9018920840584591821e-05	1.4745184605175847281	11.553079669240258198	113.42758084206401747	-0.2951916002	-0.000820747299904	-0.0373583448116	-0.000497930837521	1.99050182573e-05	5.7150878	5.9615027	5.6906402	5.9882079	5.6906402	5.9882079
118.01574414391933487	7.9984055419214327939e-05	1.474836476451570233	11.937015836863364981	117.40964849937384429	-0.2982962107	-0.000732393658026	-0.0393860747024	-0.000515472212047	1.81657741317e-05	5.7108595	5.9730132	5.6840439	5.9925221	5.6840439	5.9925221
122.01627785119744374	8.0741849521066196027e-05	1.4751579592965653465	12.319678459551873573	121.39183874124161377	-0.3010596986	-0.000650207665262	-0.0414815500259	-0.000531811607775	1.64254196373e-05	5.7067167	5.9840492	5.676169	5.9981061	5.676169	5.9981061
126.01681155847467153	8.1191557894823616166e-05	1.4754818716683051338	12.701055619451823375	125.37415229808746631	-0.3035067376	-0.00057418932161	-0.0436399630375	-0.000546949021411	1.46899534994e-05	5.7026276	5.9945572	5.6670037	6.005014	5.6670037	6.005014
130.01734526575177142	8.129632094493367692e-05	1.4758069042010162342	13.081140157620374964	129.35658943456638781	-0.3056620017	-0.000504338627071	-0.0458565059924	-0.000560884395091	1.29633795382e-05	5.6985638	6.0044754	5.656533	6.0136646	5.656533	6.0136646
134.01787897302932606	8.1068847578745582144e-05	1.4761316987098749287	13.459930291902363564	133.3391498969500617	-0.3075501648	-0.000440655581645	-0.0481263711457	-0.000573617650696	1.12477863308e-05	5.6945	6.0137327	5.6447256	6.0164242	5.6447256	6.0164242
138.01841268030776178	8.0561192636656914256e-05	1.4764550247791938808	13.837429445966494157	137.32183293635054611	-0.3091959008	-0.000383140185332	-0.0504447507527	-0.000585148710544	9.54332895268e-06	5.6904143	6.0222506	5.631995	6.0173042	5.631995	6.0173042
142.01894638758733436	7.9847534424328612678e-05	1.4767759054041726952	14.213645469776098551	141.30463738914335181	-0.3106238834	-0.000331792438132	-0.0528068370686	-0.00059547751185	7.84859685282e-06	5.6862869	6.0299461	5.6212633	6.0194292	5.6212633	6.0194292
146.01948009486781643	7.9004914528442915164e-05	1.4770936678961203992	14.588589504468876257	145.28756178953921108	-0.3118587867	-0.000286612340044	-0.0552078223486	-0.000604604014121	6.16134711023e-06	5.6820992	6.0367367	5.6300018	6.0228675	5.6300018	6.0228675
150.0200138021490659	7.8098794995385559053e-05	1.4774079264524238031	14.962274786173388463	149.27060448597336517	-0.2979381122	-0.000790989800054	-0.0605424757456	-0.000507404672636	-2.3974838953e-06	5.6778329	6.0425391	5.6362414	6.0275725	5.6362414	6.0275725
154.02054750943085537	7.7175419883812796697e-05	1.4777185200365148265	15.334715616757586432	153.25376373990138745	-0.3007307665	-0.000799388854255	-0.0626429012227	-0.000506324796253	-2.84362223054e-06	5.67347	6.0472709	5.6412196	6.0335273	5.6412196	6.0335273
158.02108121671275853	7.6260137921913248083e-05	1.4780254315590157788	15.705926626975807991	157.2370377956706875	-0.3039264746	-0.000794368757991	-0.0646687469022	-0.000507774566559	-3.08035865515e-06	5.668992	6.0508511	5.644981	6.0407179	5.644981	6.0407179
162.02161492399466169	7.5359751117559054608e-05	1.4783287084931409083	16.075922363990052588	161.220424919089794	-0.3070970953	-0.00079005698521	-0.0667011863418	-0.00050907050247	-3.31075860083e-06	5.6643817	6.0532025	5.647524	6.0491268	5.647524	6.0491268
166.02214863127642275	7.4466946122615136909e-05	1.4786283972072351567	16.444717170608605272	165.20392340834837341	-0.3102464127	-0.000786374139907	-0.0687394937916	-0.000510224260608	-3.53355218739e-06	5.6596243	6.0542516	5.6488612	6.0587326	5.6488612	6.0587326
170.02268233855795643	7.3565281039447211935e-05	1.4789244962910192971	16.812325289110599869	169.18753158403234238	-0.313377715	-0.000783249854728	-0.0707829584379	-0.000511248442837	-3.7469949732e-06	5.6547079	6.0539316	5.6490071	6.0696769	5.6490071	6.0696769
174.02321604583923431	7.263375674747751462e-05	1.4792169291064221071	17.17876111224634883	173.17124776576054046	-0.3164938343	-0.000780622456603	-0.0728309646091	-0.000512153670691	-3.94907780226e-06	5.6496238	6.052185	5.6479763	6.0825548	5.6479763	6.0825548
178.02374975312022798	7.165044515694328302e-05	1.4795055328386250704	17.544039509570449553	177.15507024228401178	-0.3195974435	-0.000778429778851	-0.0748829144251	-0.000512951211279	-4.13760463621e-06	5.6443656	6.0489589	5.6457836	6.0781499	5.6457836	6.0781499
182.02428346040102269	7.0595048718056685922e-05	1.4797900599587929804	17.90817617131688877	181.13899724044699724	-0.3226907453	-0.000776620060721	-0.0769382991132	-0.000513650332957	-4.31051680933e-06	5.6389291	6.0441991	5.6424449	6.0594931	5.6424449	6.0594931
186.0248171676816753	6.9450520091452212627e-05	1.4800701880306161851	18.271187928609332829	185.1230268967747179	-0.3257758125	-0.000775141530595	-0.0789966330429	-0.000514260527198	-4.46587452929e-06	5.6333114	6.0378543	5.637977	6.0422945	5.637977	6.0422945
190.02535087496215738	6.8203871103617255841e-05	1.4803455343973388469	18.633093023853831482	189.10715723400119259	-0.3288543711	-0.000773949819896	-0.0810574961885	-0.000514789898849	-4.60205331455e-06	5.6275107	6.0298843	5.6323983	6.0263345	5.6323983	6.0263345
194.02588458224266788	6.6846340056617484758e-05	1.4806156728308645931	18.993911317888596102	193.09138614364619002	-0.3319279464	-0.00077300412653	-0.0831205066279	-0.000515246048507	-4.71772972548e-06	5.6215252	6.020271	5.6257287	6.0114685	5.6257287	6.0114685
198.02641828952312153	6.537317712729048152e-05	1.4808801500533244067	19.35366443054139296	197.07571137481568257	-0.3349978734	-0.000772266676607	-0.0851853158336	-0.000515636087214	-4.81190179916e-06	5.6153532	6.0090292	5.6179907	5.9976707	5.6179907	5.9976707
202.02695199680360361	6.3783244662359134237e-05	1.4811385010298043774	19.712375817568549508	201.0601305288312517	-0.3380652106	-0.000771706843651	-0.087251629328	-0.000515965922869	-4.88393391138e-06	5.6089916	5.9962136	5.6092135	5.9849191	5.6092135	5.9849191
206.02748570408422779	6.20785955595491842e-05	1.4813902626070079016	20.070070789917760834	205.0446410590355697	-0.3411309621	-0.000771293229676	-0.0893191591389	-0.000516241702595	-4.93345593407e-06	5.6024358	5.9819189	5.5993834	5.9731892	5.5993834	5.9731892
210.0280194113648804	6.0264183770920563854e-05	1.4816349857120278966	20.426776481670238184	209.02924027510297833	-0.3441958323	-0.000771003051565	-0.0913876774834	-0.000516468014726	-4.96048248302e-06	5.5956785	5.9662695	5.5880009	5.9624579	5.5880009	5.9624579
214.02855311864570353	5.8347801683222812934e-05	1.4818722468558209737	20.782521771052344661	213.0139253513786457	-0.3472605533	-0.000770811221169	-0.0934569518465	-0.000516650037159	-4.96528970618e-06	5.5887089	5.9493997	5.5853246	5.9526714	5.5853246	5.9526714
218.02908682592666878	5.6340395979931976041e-05	1.4821016600486662806	21.137337155207514883	216.99869333911192371	-0.3503255578	-0.000770701175837	-0.0955268067845	-0.000516791241661	-4.94862176533e-06	5.5815115	5.9314419	5.584471	5.9434653	5.584471	5.9434653
222.02962053320777613	5.4256549424422465542e-05	1.4823228905416505619	21.49125457419786045	220.98354118292621706	-0.3533913536	-0.000770653335238	-0.097597052714	-0.00051689596652	-4.91160927541e-06	5.5740649	5.9125087	5.5828623	5.9351272	5.5828623	5.9351272
226.03015424048911086	5.2115726296413946144e-05	1.482535671422500867	21.844307175147147149	224.9684657422713201	-0.356458145	-0.000770657108014	-0.0996675530646	-0.000516966843701	-4.85608417413e-06	5.5663411	5.8926714	5.5803609	5.8979424	5.5803609	5.8979424
230.03068794777072981	4.9943185486309850483e-05	1.482739825244509202	22.196529000222547268	228.95346381924059642	-0.3595262556	-0.000770698936116	-0.101738153026	-0.000517007626136	-4.78454403762e-06	5.5583046	5.8719425	5.5770222	5.8632077	5.5770222	5.8632077
234.03122165505260455	4.7770983943079260671e-05	1.4829352884317243966	22.547954582273447954	232.93853219411477085	-0.3625957168	-0.000770774045302	-0.103808749976	-0.000517020249207	-4.70046342791e-06	5.549912	5.8502739	5.5728844	5.828786	5.5728844	5.828786
238.03175536233482035	4.5637298967091274003e-05	1.4831221369362559415	22.898618438842465395	236.92366766938201295	-0.36566672	-0.000770872735579	-0.105879213108	-0.000517007836245	-4.60807087163e-06	5.541113	5.8275709	5.5679822	5.7950665	5.5679822	5.7950665
242.03228906961729194	4.3581332994687327267e-05	1.4833006017744201355	23.248554479129143857	240.90886712089414345	-0.3687392504	-0.000770992582548	-0.107949456848	-0.000516972095651	-4.51208563297e-06	5.5318524	5.80368	5.5623495	5.7619591	5.5623495	5.7619591
246.03282277689987723	4.1636413376310625015e-05	1.4834710597956084488	23.597795395434268073	244.89412754986608434	-0.371813384	-0.000771128621563	-0.110019382076	-0.000516915342653	-4.41686129142e-06	5.5220738	5.7784653	5.5560192	5.7263956	5.5560192	5.7263956
250.0333564841825762	3.9824558902502522667e-05	1.4836339993782532432	23.946372142997809362	248.87944612668692912	-0.3748890759	-0.000771280414366	-0.112088918607	-0.000516838928249	-4.32582380475e-06	5.5117284	5.7519748	5.5490221	5.6916256	5.5490221	5.6916256
254.03389019146524674	3.8153824080997071058e-05	1.4837899695811429535	24.294313592941833235	252.86482021929987241	-0.3779663853	-0.000771445125307	-0.114157983067	-0.000516744855004	-4.24094247924e-06	5.500782	5.7243821	5.5413875	5.6559462	5.5413875	5.6559462
258.03442389874777518	3.6618059603757755057e-05	1.4839395236365890973	24.64164640243037141	256.8502474025169704	-0.3810452324	-0.000771624798558	-0.116226523658	-0.000516633975682	-4.16266514083e-06	5.4892195	5.6958333	5.5331419	5.6426035	5.5331419	5.6426035
262.03495760603010467	3.5198429431188604289e-05	1.484083165075559041	24.988395107181393229	260.83572544803888604	-0.3841256791	-0.000771818213287	-0.118294468055	-0.000516507993672	-4.08982528244e-06	5.4770483	5.6663325	5.5243101	5.6458739	5.5243101	5.6458739
266.03549131331226363	3.3866500349074147962e-05	1.4842213029131299251	25.334582412649204741	264.82125229742575812	-0.3872076801	-0.000772028086758	-0.120361771895	-0.000516367665369	-4.01998744519e-06	5.4642981	5.6357089	5.5149147	5.6439287	5.5149147	5.6439287
270.03602502059419521	3.2588485328164680912e-05	1.4843542212984144335	25.680229636420637718	268.80682602227830102	-0.3902912977	-0.000772255093284	-0.122428374263	-0.00051621429402	-3.94974657635e-06	5.4510174	5.60368	5.5049773	5.6190866	5.5049773	5.6190866
274.03655872787601311	3.1328940687837814592e-05	1.4844820657513699835	26.025357238296631834	272.79244477721744033	-0.3933765409	-0.000772502118054	-0.124494234113	-0.000516048600515	-3.87522053242e-06	5.4372656	5.5699843	5.4945176	5.5966748	5.4945176	5.5966748
278.03709243515760363	3.0053821538433065209e-05	1.4846048427318250251	26.369985377726976594	276.77810675090563564	-0.3964634843	-0.000772771227096	-0.126559299911	-0.000515871571602	-3.79237190192e-06	5.423103	5.5344413	5.4835536	5.568994	5.4835536	5.568994
